"consumption","SMI","unemployment_proxy","electricity","mobility","net_bankruptcies","air_pollution","c19_cases","stringency"
269790916.95778,11092.35,153820,171.833869858105,0,128.123273595891,56.15,-16.7925197226637,0
269852639.57317,11128.81,153895,171.538759806245,0,127.817739294442,55.033333335,-12.9202156222752,0
269948118.589128,11128.81,153652,171.244752041661,0.2,127.48016783569,46.93333333,-8.32981882288975,0
270079177.850995,11128.81,153581,170.954315531223,5.4,127.122979755944,46.1,-2.9610421660331,0
270251808.603851,11168.45,153708,170.668288864978,-1.8,126.745847574726,53.61666667,3.24723448864916,0
270455592.76489,11146.28,154006,170.38456941426,1.2,126.335731513585,51,10.3564273857448,0
270674759.88875,11263.01,154144,170.101179109555,-2.8,125.885517209311,44.95,18.427628046378,0
270889146.477688,11154.53,154188,169.81668078289,0.2,125.395456725544,48.85,27.5208923489334,0
271074936.535674,11110.78,154254,169.530733670668,-1.2,124.871813574201,51.983333335,37.6944334089946,0
271205428.938231,11110.78,154145,169.243628854217,2.4,124.327411721529,49.13333333,49.0037122529197,0
271256915.161327,11110.78,154103,168.955925547826,8.8,123.777687952415,48.56666667,61.5004204636982,0
271209285.569635,10712.84,154247,168.666317321478,2.6,123.225646310577,43.833333335,75.2313492531221,0
271026025.479716,10478.51,154484,168.370225726363,2,122.661913070934,53.38333333,90.2371397909297,0
270668764.933571,10512.15,154626,168.062088162057,-2.4,122.084291943777,53.183333335,106.551010111925,0
270108842.177852,10205.46,154138,167.736522913315,-2.4,121.494120448089,51.716666665,124.19725453695,5.56
269324443.112921,9831.03,151721,167.389602878285,0.8,120.895827673657,55.066666665,143.190512285819,19.44
268301003.40402,9831.03,151401,167.019358647874,-1.8,120.297593298226,52.08333333,163.534002852902,19.44
267040306.090079,9831.03,151325,166.624851853961,2.6,119.707607416771,49.08333333,185.217626681343,25
265556298.34659,9950.83,151377,166.20370314576,-2.6,119.12203036494,52.45,208.21623081399,25
263848600.601035,10087.4,151400,165.750950294309,0.4,118.525051717636,52.016666665,232.487240531018,25
261921050.651962,10251.39,151470,165.262651659253,-0.8,117.906848846728,53.56666667,257.970259489531,25
259780570.177455,10143.57,151418,164.736238740167,-5,117.262446618913,57.666666665,284.584942622596,25
257436948.694137,9736.82,151375,164.170370290419,-2.4,116.589179216001,47.85,312.231247837303,25
254901482.230513,9736.82,151255,163.565500586075,-2,115.890454575144,52.733333335,340.786874546497,25
252194413.126315,9736.82,151205,162.923556360869,2.6,115.170821715569,55.933333335,370.105599038233,25
249344392.446658,9196.6,151316,162.24591044485,-2.8,114.423240611047,49.383333335,400.012018913107,25
246365243.43394,9195.93,151577,161.532183911149,-3.6,113.629154153178,43.75,430.300521211815,25
243270274.217115,9152.5,151682,160.783259046732,-2,112.776262909499,39.816666665,460.744691773165,25
240071760.975393,8270.44,151803,160.002281815074,-2.8,111.860104532133,43.9,491.096086383841,25
236782121.524464,8367.56,151904,159.193238218856,-1,110.880239046913,50.56666667,521.093486361351,48.15
233415847.28782,8367.56,151542,158.360694565188,-7.6,109.842540469216,50.95,550.462163414561,48.15
230000510.036,8367.56,151962,157.509917326137,-9.8,108.760494790517,55.6,578.918379903706,48.15
226572551.513014,8227.08,152782,156.645180269774,-6.6,107.636603748242,58,606.164951972678,59.26
223153603.440168,8493.04,153607,155.768569986746,-22.8,106.46249303034,59.45,631.87930392738,73.15
219776363.512419,8338.74,154360,154.882348977587,-26.2,105.234724664384,61.583333335,655.784243578498,73.15
216468804.419078,8782.24,155212,153.988797943647,-30.2,103.957514428643,63.85,677.647590806366,78.7
213253819.102705,8623.86,155144,153.089865545663,-29.6,102.640554628922,61.133333335,697.292087066951,78.7
210150136.488018,8623.86,155112,152.186856499344,-38,101.301741819582,47.633333335,714.556209057087,78.7
207178210.911326,8623.86,156297,151.280447923106,-45.4,99.9581084995199,38.2500000015,729.322604264959,78.7
204351936.848789,8160.79,158736,150.369654626846,-34.2,98.6165569934521,43.333333335,741.47156455782,78.7
201669089.159972,8733.32,158713,149.451763281227,-34.2,97.2739938152445,45.233333335,750.865049542507,78.7
199122410.657062,8989.16,160834,148.524923773011,-34.8,95.9288638230638,49.766666665,757.436971669407,78.7
196700666.482123,9203.98,160798,147.588507027409,-35,94.5852844756951,48.1,761.170256883952,78.7
194398663.205358,8996.37,160727,146.643272539939,-32.6,93.2498803455413,53.31666667,762.078987434389,78.7
192215083.890221,8996.37,160780,145.691479166281,-34.2,91.9357174765578,63.466666685,760.212528543262,78.7
190156333.207844,8996.37,160668,144.736320447426,-46.2,90.6571369246648,51.2,755.674737534423,78.7
188229394.550272,9174.39,163139,143.779746982456,-36,89.419286174036,38.36666667,748.565650478809,78.7
186428249.168527,9311.92,164259,142.821822583818,-33,88.2182469951515,54.066666665,738.953035973667,78.7
184749724.735777,9168.98,165188,141.864589435691,-33.4,87.0539592298746,59.25,726.960506051156,78.7
183193811.308273,9270.96,165137,140.911963091606,-33.4,85.9285408953691,67.249999985,712.751177439844,81.48
181763936.330793,9242.44,165119,139.969408503971,-30.8,84.8502046128757,64.100000015,696.516770817712,81.48
180466533.653284,9242.44,166278,139.043451938824,-32.6,83.8305701495452,62.63333335,678.465431744973,81.48
179315319.196858,9242.44,167343,138.141315041811,-35.8,82.8838722520675,63.216666665,658.82835410477,81.48
178325183.270765,9462.34,168302,137.269410043459,-31.6,82.0159626101176,70.150000015,637.817485237064,81.48
177499252.241832,9514.6,169093,136.432455905105,-29.6,81.2244045261453,74.833333335,615.606989646413,81.48
176844773.434664,9432.39,169136,135.635398182575,-28.4,80.5092597063397,76.93333335,592.399650088849,81.48
176373172.779635,9452.83,169131,134.883455994404,-24.8,79.8757674164365,77.016666685,568.408188621443,81.48
176101661.65488,9452.83,169060,134.181977806989,-54.8,79.3336159962008,72.433333335,543.847287336249,81.48
176054380.144453,9452.83,169007,133.536214380597,-27.8,78.8989062086562,72.949999985,518.930787506465,81.48
176244590.799649,9452.83,170036,132.949440726144,-37,78.5798054552279,66.833333315,493.849045676545,81.48
176687658.063139,9452.83,171000,132.423082932758,-56.4,78.3765912467178,60.733333315,468.766525312212,81.48
177385354.474422,9538.61,172188,131.955891678465,-31,78.2816831133845,51.95,443.82020497461,81.48
178327348.364287,9320.2,172623,131.544329234628,-32.6,78.2796629263613,59.783333335,419.124686572353,81.48
179504460.968278,9439.91,172574,131.185318794792,-32.6,78.3585843884702,72.133333335,394.792589993557,81.48
180907276.857699,9612.83,172538,130.876652557637,-31.2,78.5128732362396,67.133333315,370.927422657675,81.48
182525752.561258,9612.83,173273,130.616829978246,-31.4,78.7401193477601,55.51666667,347.625212725176,81.48
184351887.643281,9612.83,173268,130.404605208873,-33.2,79.0407613137981,49.483333335,324.973995614246,81.48
186376832.899333,9785.27,175102,130.237402952857,-33,79.4073637131857,52.45,303.041544221808,81.48
188578119.684516,9547.85,175801,130.110666373506,-31.8,79.8245870486232,51.383333335,281.871834045218,81.48
190930596.400544,9630.56,176431,130.020161518671,-31,80.2821510864399,65.266666685,261.506236427413,81.48
193406755.430762,9625.48,176390,129.962510227367,-30.6,80.7736931342603,75.249999985,241.979235527934,81.48
195976558.422474,9625.65,176362,129.934911490726,-28.2,81.2977222845998,73.266666665,223.314664882658,81.48
198608569.957141,9625.65,177138,129.935020087889,-29.6,81.8520702606607,63.61666665,205.532860103937,81.48
201283169.723182,9625.65,177901,129.960849440926,-32.6,82.4384390134169,57.35,188.648525337613,81.48
203984234.901021,9758.82,177395,130.009107151989,-25.4,83.0503452868161,55.11666667,172.664511443525,77.78
206682727.238408,9889.46,177677,130.074604102347,-27.8,83.6730619809047,44.066666665,157.570904428974,77.78
209359453.660005,9865.32,177776,130.152479139793,-26.6,84.2997569612005,48.75,143.357823850128,77.78
212002123.804549,9629.4,177690,130.238982658358,-26.6,84.929330787023,42.966666665,130.0149321727,77.78
214604889.27591,9629.4,177657,130.331403722402,-37.4,85.5613540419956,48.35,117.529556080028,77.78
217169211.993979,9629.4,178165,130.428496737076,-26.4,86.2014043766633,40.433333335,105.886120762219,77.78
219697977.604619,9629.4,178715,130.529379269303,-26.4,86.8586033061666,48.333333335,95.0655984537854,77.78
222198632.304695,9390.27,179204,130.632630836718,-24.4,87.5334522052084,50.15,85.0430727771589,77.78
224662974.810508,9512.17,179683,130.735094511532,-26.4,88.2177665881611,40.633333335,75.7863207949197,77.78
227087011.597531,9571.7,180004,130.83384531397,-24.4,88.9092086241764,53.633333335,67.2636152623838,77.78
